critic,country,org,movie_name,movie_director,movie_year,d1,d2,d1_url,direc_birthyear,birth_place,d_countries
Arturo Aguilar,Mexico,Rolling Stone Mexico,There Will Be Blood ,Paul Thomas Anderson,2007.0,Paul Thomas Anderson,,/name/nm0000759/,1970.0,"Studio City, California, USA", USA
Matthew Anderson,UK,BBC Culture,The Piano Teacher ,Michael Haneke,2001.0,Michael Haneke,,/name/nm0359734/,1942.0,"Munich, Bavaria, Germany", Germany
Matthew Anderson,UK,BBC Culture,Margaret ,Kenneth Lonergan,2011.0,Kenneth Lonergan,,/name/nm0518836/,1962.0,"New York City, New York, USA", USA
Matthew Anderson,UK,BBC Culture,American Psycho ,Mary Harron,2000.0,Mary Harron,,/name/nm0366004/,1953.0,"Bracebridge, Ontario, Canada", Canada
Matthew Anderson,UK,BBC Culture,"4 Months, 3 Weeks & 2 Days ",Cristian Mungiu,2007.0,Cristian Mungiu,,/name/nm0612816/,1968.0,"Iasi, Romania", Romania
Matthew Anderson,UK,BBC Culture,Caché ,Michael Haneke,2005.0,Michael Haneke,,/name/nm0359734/,1942.0,"Munich, Bavaria, Germany", Germany
Matthew Anderson,UK,BBC Culture,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,1946.0,"Missoula, Montana, USA", USA
Matthew Anderson,UK,BBC Culture,Lourdes ,Jessica Hausner,2009.0,Jessica Hausner,,/name/nm0369618/,1972.0,"Vienna, Austria", Austria
Matthew Anderson,UK,BBC Culture,Red Road ,Andrea Arnold,2006.0,Andrea Arnold,,/name/nm0036349/,1961.0,"Dartford, Kent, England, UK", UK
Matthew Anderson,UK,BBC Culture,Boyhood ,Richard Linklater,2014.0,Richard Linklater,,/name/nm0000500/,1960.0,"Houston, Texas, USA", USA
Matthew Anderson,UK,BBC Culture,Tony Manero ,Pablo Larraín,2008.0,Pablo Larraín,,/name/nm1883257/,1976.0,"Santiago, Chile", Chile
Tim Appelo,US,The Wrap,No Country For Old Men ,Joel and Ethan Coen,2007.0,Joel, Ethan Coen,/name/nm0001054/,1954.0,"Minneapolis, Minnesota, USA", USA
Tim Appelo,US,The Wrap,Spirited Away ,Hayao Miyazaki,2001.0,Hayao Miyazaki,,/name/nm0594503/,1941.0,"Tokyo, Japan", Japan
Tim Appelo,US,The Wrap,A Separation ,Asghar Farhadi,2011.0,Asghar Farhadi,,/name/nm1410815/,1972.0,"Khomeyni Shahr, Isfahan, Iran", Iran
Tim Appelo,US,The Wrap,Pan's Labyrinth ,Guillermo Del Toro,2006.0,Guillermo Del Toro,,/name/nm0868219/,1964.0,"Guadalajara, Jalisco, Mexico", Mexico
Tim Appelo,US,The Wrap,Finding Nemo ,Andrew Stanton and Lee Unkrich,2003.0,Andrew Stanton, Lee Unkrich,/name/nm0004056/,1965.0,"Boston, Massachusetts, USA", USA
Tim Appelo,US,The Wrap,Hero ,Zhang Yimou,2002.0,Zhang Yimou,,/title/tt1269610/,,,
Tim Appelo,US,The Wrap,The Wolf of Wall Street ,Martin Scorsese,2013.0,Martin Scorsese,,/name/nm0000217/,1942.0,"Queens, New York City, New York, USA", USA
Tim Appelo,US,The Wrap,Mother ,Bong Joon-ho,2009.0,Bong Joon-ho,,/name/nm0094435/,1969.0,"Daegu, South Korea", South Korea
Tim Appelo,US,The Wrap,The Bourne Ultimatum ,Paul Greengrass,2007.0,Paul Greengrass,,/name/nm0339030/,1955.0,"Cheam, Surrey, England, UK", UK
Tim Appelo,US,The Wrap,Traffic ,Steven Soderbergh,2000.0,Steven Soderbergh,,/name/nm0001752/,1963.0,"Atlanta, Georgia, USA", USA
Adriano Aprà,Italy,Film historian,These Encounters of Theirs ,Danièle Huillet and Jean-Marie Straub,2006.0,Danièle Huillet, Jean-Marie Straub,/name/nm0401247/,1936.0,"Paris, France", France
Adriano Aprà,Italy,Film historian,Vincere ,Marco Bellocchio,2009.0,Marco Bellocchio,,/name/nm0069166/,1939.0,"Piacenza, Emilia-Romagna, Italy", Italy
Adriano Aprà,Italy,Film historian,Le quattro volte ,Michelangelo Frammartino,2010.0,Michelangelo Frammartino,,/name/nm1506005/,,,
Adriano Aprà,Italy,Film historian,The Profession of Arms ,Ermanno Olmi,2001.0,Ermanno Olmi,,/name/nm0647438/,1931.0,"Bergamo, Lombardy, Italy", Italy
Adriano Aprà,Italy,Film historian,Gostanza da Libbiano ,Paolo Benvenuti,2000.0,Paolo Benvenuti,,/name/nm0073047/,1946.0,"Pisa, Tuscany, Italy", Italy
Adriano Aprà,Italy,Film historian,Storia di una donna amata e di un assassino gentile ,Luigi M. Faccini,2009.0,Luigi M. Faccini,,/name/nm0264825/,1939.0,"Lerici, Italy", Italy
Adriano Aprà,Italy,Film historian,At the First Breath of Wind ,Franco Piavoli,2003.0,Franco Piavoli,,/name/nm0681311/,1933.0,"Pozzolengo, Lombardy, Italy", Italy
Adriano Aprà,Italy,Film historian,Sangue ,Pippo Delbono,2013.0,Pippo Delbono,,/name/nm2647632/,,,
Adriano Aprà,Italy,Film historian,Terra ,Marco De Angelis and Antonio Di Trapani,2015.0,Marco De Angelis, Antonio Di Trapani,/name/nm3042162/,,,
Adriano Aprà,Italy,Film historian,Oh! Man ,Yervant Gianikian and Angela Ricci Lucchi,2004.0,Yervant Gianikian, Angela Ricci Lucchi,/name/nm0316214/,,,
Michael Arbeiter,US,Nerdist,"Synecdoche, New York ",Charlie Kaufman,2008.0,Charlie Kaufman,,/name/nm0442109/,1958.0,"New York City, New York, USA", USA
Michael Arbeiter,US,Nerdist,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,1946.0,"Missoula, Montana, USA", USA
Michael Arbeiter,US,Nerdist,Eternal Sunshine of the Spotless Mind ,Michel Gondry,2004.0,Michel Gondry,,/name/nm0327273/,1963.0,"Versailles, Seine-et-Oise [now Yvelines], France", France
Michael Arbeiter,US,Nerdist,Black Swan ,Darren Aronofsky,2010.0,Darren Aronofsky,,/name/nm0004716/,1969.0,"Brooklyn, New York City, New York, USA", USA
Michael Arbeiter,US,Nerdist,The Comedy ,Rick Alverson,2012.0,Rick Alverson,,/name/nm3687830/,,,
Michael Arbeiter,US,Nerdist,Melancholia ,Lars von Trier,2011.0,Lars von Trier,,/name/nm0001885/,1956.0,"Copenhagen, Denmark", Denmark
Michael Arbeiter,US,Nerdist,Inglourious Basterds ,Quentin Tarantino,2009.0,Quentin Tarantino,,/name/nm0000233/,1963.0,"Knoxville, Tennessee, USA", USA
Michael Arbeiter,US,Nerdist,Inside Llewyn Davis ,Joel and Ethan Coen,2013.0,Joel, Ethan Coen,/name/nm0001054/,1954.0,"Minneapolis, Minnesota, USA", USA
Michael Arbeiter,US,Nerdist,Only Lovers Left Alive ,Jim Jarmusch,2013.0,Jim Jarmusch,,/name/nm0000464/,1953.0,"Akron, Ohio, USA", USA
Michael Arbeiter,US,Nerdist,The Congress ,Ari Folman,2013.0,Ari Folman,,/name/nm0284369/,1962.0,"Haifa, Israel", Israel
Ali Arikan,Turkey,Dipnot TV,The Master ,Paul Thomas Anderson,2012.0,Paul Thomas Anderson,,/name/nm0000759/,1970.0,"Studio City, California, USA", USA
Ali Arikan,Turkey,Dipnot TV,25th Hour ,Spike Lee,2002.0,Spike Lee,,/name/nm0000490/,1957.0,"Atlanta, Georgia, USA", USA
Ali Arikan,Turkey,Dipnot TV,24 Hour Party People ,Michael Winterbottom,2002.0,Michael Winterbottom,,/name/nm0935863/,1961.0,"Blackburn, Lancashire, England, UK", UK
Ali Arikan,Turkey,Dipnot TV,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,1946.0,"Missoula, Montana, USA", USA
Ali Arikan,Turkey,Dipnot TV,Once Upon a Time in Anatolia ,Nuri Bilge Ceylan,2011.0,Nuri Bilge Ceylan,,/name/nm0149196/,1959.0,"Istanbul, Turkey", Turkey
Ali Arikan,Turkey,Dipnot TV,Zodiac ,David Fincher,2007.0,David Fincher,,/name/nm0000399/,1962.0,"Denver, Colorado, USA", USA
Ali Arikan,Turkey,Dipnot TV,A Serious Man ,Joel and Ethan Coen,2009.0,Joel, Ethan Coen,/name/nm0001054/,1954.0,"Minneapolis, Minnesota, USA", USA
Ali Arikan,Turkey,Dipnot TV,Tinker Tailor Soldier Spy ,Tomas Alfredson,2011.0,Tomas Alfredson,,/name/nm0019247/,1965.0,"Lidingö, Stockholms län, Sweden", Sweden
Ali Arikan,Turkey,Dipnot TV,Primer ,Shane Carruth,2004.0,Shane Carruth,,/name/nm1503403/,,,
Ali Arikan,Turkey,Dipnot TV,In the Mood for Love ,Wong Kar-wai,2000.0,Wong Kar-wai,,/name/nm0939182/,1956.0,"Shanghai, China", China
Michael Atkinson,US,The Village Voice,"La commune (Paris, 1871) ","Paris, 1871) (Peter Watkins",1871.0,"Paris, 1871) (Peter Watkins",, ,,,
Michael Atkinson,US,The Village Voice,Uncle Boonmee Who Can Recall His Past Lives ,Apichatpong Weerasethakul,2010.0,Apichatpong Weerasethakul,,/name/nm0917405/,1970.0,"Bangkok, Thailand", Thailand
Michael Atkinson,US,The Village Voice,2046 ,Wong Kar-wai,2004.0,Wong Kar-wai,,/name/nm0939182/,1956.0,"Shanghai, China", China
Michael Atkinson,US,The Village Voice,Adaptation ,Spike Jonze,2002.0,Spike Jonze,,/name/nm0005069/,1969.0,"Rockville, Maryland, USA", USA
Michael Atkinson,US,The Village Voice,Battle in Heaven ,Carlos Reygadas,2005.0,Carlos Reygadas,,/name/nm1196161/,1971.0,"Mexico City, Distrito Federal, Mexico", Mexico
Michael Atkinson,US,The Village Voice,Caché ,Michael Haneke,2005.0,Michael Haneke,,/name/nm0359734/,1942.0,"Munich, Bavaria, Germany", Germany
Michael Atkinson,US,The Village Voice,Inland Empire ,David Lynch,2006.0,David Lynch,,/name/nm0000186/,1946.0,"Missoula, Montana, USA", USA
Michael Atkinson,US,The Village Voice,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,1946.0,"Missoula, Montana, USA", USA
Michael Atkinson,US,The Village Voice,Mysteries of Lisbon ,Raoul Ruiz,2010.0,Raoul Ruiz,,/name/nm0749914/,1941.0,"Puerto Montt, Chile", Chile
Michael Atkinson,US,The Village Voice,Eternal Sunshine of the Spotless Mind ,Michel Gondry,2004.0,Michel Gondry,,/name/nm0327273/,1963.0,"Versailles, Seine-et-Oise [now Yvelines], France", France
Ana Maria Bahiana,Brazil,Freelance film critic,There Will Be Blood ,Paul Thomas Anderson,2007.0,Paul Thomas Anderson,,/name/nm0000759/,1970.0,"Studio City, California, USA", USA
Ana Maria Bahiana,Brazil,Freelance film critic,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,1946.0,"Missoula, Montana, USA", USA
Ana Maria Bahiana,Brazil,Freelance film critic,Children of Men ,Alfonso Cuarón,2006.0,Alfonso Cuarón,,/name/nm0190859/,1961.0,"Mexico City, Distrito Federal, Mexico", Mexico
Ana Maria Bahiana,Brazil,Freelance film critic,City of God ,Fernando Meirelles and Kátia Lund,2002.0,Fernando Meirelles, Kátia Lund,/name/nm0576987/,1955.0,"São Paulo, São Paulo, Brazil", Brazil
Ana Maria Bahiana,Brazil,Freelance film critic,Pan's Labyrinth ,Guillermo Del Toro,2006.0,Guillermo Del Toro,,/name/nm0868219/,1964.0,"Guadalajara, Jalisco, Mexico", Mexico
Ana Maria Bahiana,Brazil,Freelance film critic,Inception ,Christopher Nolan,2010.0,Christopher Nolan,,/name/nm0634240/,1970.0,"London, England, UK", UK
Ana Maria Bahiana,Brazil,Freelance film critic,The Incredibles ,Brad Bird,2004.0,Brad Bird,,/name/nm0083348/,1957.0,"Kalispell, Montana, USA", USA
Ana Maria Bahiana,Brazil,Freelance film critic,Birdman ,Alejandro González Iñárritu,2014.0,Alejandro González Iñárritu,,/name/nm0327944/,1963.0,"Mexico City, Distrito Federal, Mexico", Mexico
Ana Maria Bahiana,Brazil,Freelance film critic,No Country For Old Men ,Joel and Ethan Coen,2007.0,Joel, Ethan Coen,/name/nm0001054/,1954.0,"Minneapolis, Minnesota, USA", USA
Ana Maria Bahiana,Brazil,Freelance film critic,Brokeback Mountain ,Ang Lee,2005.0,Ang Lee,,/name/nm0000487/,1954.0,"Pingtung, Taiwan", Taiwan
Cameron Bailey,Canada,Toronto Film Festival,In the Mood for Love ,Wong Kar-wai,2000.0,Wong Kar-wai,,/name/nm0939182/,1956.0,"Shanghai, China", China
Cameron Bailey,Canada,Toronto Film Festival,12 Years a Slave ,Steve McQueen,2013.0,Steve McQueen,,/name/nm0000537/,1930.0,"Beech Grove, Indiana, USA", USA
Cameron Bailey,Canada,Toronto Film Festival,Spirited Away ,Hayao Miyazaki,2001.0,Hayao Miyazaki,,/name/nm0594503/,1941.0,"Tokyo, Japan", Japan
Cameron Bailey,Canada,Toronto Film Festival,Fish Tank ,Andrea Arnold,2009.0,Andrea Arnold,,/name/nm0036349/,1961.0,"Dartford, Kent, England, UK", UK
Cameron Bailey,Canada,Toronto Film Festival,Mommy ,Xavier Dolan,2014.0,Xavier Dolan,,/name/nm0230859/,1989.0,"Montreal, Quebec, Canada", Canada
Cameron Bailey,Canada,Toronto Film Festival,Talk to Her ,Pedro Almodóvar,2002.0,Pedro Almodóvar,,/name/nm0000264/,1949.0,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain", Spain
Cameron Bailey,Canada,Toronto Film Festival,Timbuktu ,Abderrahmane Sissako,2014.0,Abderrahmane Sissako,,/name/nm0803066/,1961.0,"Kiffa, Mauritania", Mauritania
Cameron Bailey,Canada,Toronto Film Festival,Selma ,Ava DuVernay,2014.0,Ava DuVernay,,/name/nm1148550/,1972.0,"Long Beach, California, USA", USA
Cameron Bailey,Canada,Toronto Film Festival,The White Ribbon ,Michael Haneke,2009.0,Michael Haneke,,/name/nm0359734/,1942.0,"Munich, Bavaria, Germany", Germany
Cameron Bailey,Canada,Toronto Film Festival,The Headless Woman ,Lucrecia Martel,2008.0,Lucrecia Martel,,/name/nm0551506/,1966.0,"Salta, Argentina", Argentina
Lindsay Baker,UK,BBC Culture,The Royal Tenenbaums ,Wes Anderson,2001.0,Wes Anderson,,/name/nm0027572/,1969.0,"Houston, Texas, USA", USA
Lindsay Baker,UK,BBC Culture,Far From Heaven ,Todd Haynes,2002.0,Todd Haynes,,/name/nm0001331/,1961.0,"Los Angeles, California, USA", USA
Lindsay Baker,UK,BBC Culture,Moonrise Kingdom ,Wes Anderson,2012.0,Wes Anderson,,/name/nm0027572/,1969.0,"Houston, Texas, USA", USA
Lindsay Baker,UK,BBC Culture,Lost in Translation ,Sofia Coppola,2003.0,Sofia Coppola,,/name/nm0001068/,1971.0,"New York City, New York, USA", USA
Lindsay Baker,UK,BBC Culture,A Single Man ,Tom Ford,2009.0,Tom Ford,,/name/nm1053530/,1961.0,"Austin, Texas, USA", USA
Lindsay Baker,UK,BBC Culture,Spirited Away ,Hayao Miyazaki,2001.0,Hayao Miyazaki,,/name/nm0594503/,1941.0,"Tokyo, Japan", Japan
Lindsay Baker,UK,BBC Culture,Toy Story 3 ,Lee Unkrich,2010.0,Lee Unkrich,,/name/nm0881279/,1967.0,"Cleveland, Ohio, USA", USA
Lindsay Baker,UK,BBC Culture,Eternal Sunshine of the Spotless Mind ,Michel Gondry,2004.0,Michel Gondry,,/name/nm0327273/,1963.0,"Versailles, Seine-et-Oise [now Yvelines], France", France
Lindsay Baker,UK,BBC Culture,I Am Love ,Luca Guadagnino,2009.0,Luca Guadagnino,,/name/nm0345174/,,,
Lindsay Baker,UK,BBC Culture,Donnie Darko ,Richard Kelly,2001.0,Richard Kelly,,/name/nm0446819/,1975.0,"Newport News, Virginia, USA", USA
Miriam Bale,US,Freelance film critic,Inherent Vice ,Paul Thomas Anderson,2014.0,Paul Thomas Anderson,,/name/nm0000759/,1970.0,"Studio City, California, USA", USA
Miriam Bale,US,Freelance film critic,Film socialisme ,Jean-Luc Godard,2010.0,Jean-Luc Godard,,/name/nm0000419/,1930.0,"Paris, France", France
Miriam Bale,US,Freelance film critic,A History of Violence ,David Cronenberg,2005.0,David Cronenberg,,/name/nm0000343/,1943.0,"Toronto, Ontario, Canada", Canada
Miriam Bale,US,Freelance film critic,This Is the End ,Evan Goldberg and Seth Rogen,2013.0,Evan Goldberg, Seth Rogen,/name/nm1698571/,,,
Miriam Bale,US,Freelance film critic,Somewhere ,Sofia Coppola,2010.0,Sofia Coppola,,/name/nm0001068/,1971.0,"New York City, New York, USA", USA
Miriam Bale,US,Freelance film critic,Holy Motors ,Leos Carax,2012.0,Leos Carax,,/name/nm0136021/,1960.0,"Suresnes, Seine [now Hauts-de-Seine], France", France
Miriam Bale,US,Freelance film critic,Almayer's Folly ,Chantal Akerman,2011.0,Chantal Akerman,,/name/nm0001901/,1950.0,"Brussels, Belgium", Belgium
Miriam Bale,US,Freelance film critic,Inside Llewyn Davis ,Joel and Ethan Coen,2013.0,Joel, Ethan Coen,/name/nm0001054/,1954.0,"Minneapolis, Minnesota, USA", USA
Miriam Bale,US,Freelance film critic,The Story of Marie and Julien ,Jacques Rivette,2003.0,Jacques Rivette,,/name/nm0729626/,1928.0,"Rouen, Seine-Inférieure [now Seine-Maritime], France", France
Miriam Bale,US,Freelance film critic,Bamboozled ,Spike Lee,2000.0,Spike Lee,,/name/nm0000490/,1957.0,"Atlanta, Georgia, USA", USA
Nicholas Barber,UK,BBC Culture,Boyhood ,Richard Linklater,2014.0,Richard Linklater,,/name/nm0000500/,1960.0,"Houston, Texas, USA", USA
Nicholas Barber,UK,BBC Culture,Under the Skin ,Jonathan Glazer,2013.0,Jonathan Glazer,,/name/nm0322242/,1965.0,"London, England, UK", UK
Nicholas Barber,UK,BBC Culture,Anomalisa ,Duke Johnson and Charlie Kaufman,2015.0,Duke Johnson, Charlie Kaufman,/name/nm2122478/,1979.0,"St. Louis, Missouri, USA", USA
Nicholas Barber,UK,BBC Culture,12 Years a Slave ,Steve McQueen,2013.0,Steve McQueen,,/name/nm0000537/,1930.0,"Beech Grove, Indiana, USA", USA
Nicholas Barber,UK,BBC Culture,Madagascar 3: Europe's Most Wanted ,"Eric Darnell, Tom McGrath and Conrad Vernon",2012.0,"Eric Darnell, Tom McGrath", Conrad Vernon, ,,,
Nicholas Barber,UK,BBC Culture,Another Year ,Mike Leigh,2010.0,Mike Leigh,,/name/nm0005139/,1943.0,"Salford, Greater Manchester, England, UK", UK
Nicholas Barber,UK,BBC Culture,The Diving Bell and the Butterfly ,Julian Schnabel,2007.0,Julian Schnabel,,/name/nm0773603/,1951.0,"Brooklyn, New York, USA", USA
Nicholas Barber,UK,BBC Culture,Children of Men ,Alfonso Cuarón,2006.0,Alfonso Cuarón,,/name/nm0190859/,1961.0,"Mexico City, Distrito Federal, Mexico", Mexico
Nicholas Barber,UK,BBC Culture,The Social Network ,David Fincher,2010.0,David Fincher,,/name/nm0000399/,1962.0,"Denver, Colorado, USA", USA
Nicholas Barber,UK,BBC Culture,A Separation ,Asghar Farhadi,2011.0,Asghar Farhadi,,/name/nm1410815/,1972.0,"Khomeyni Shahr, Isfahan, Iran", Iran
Diego Batlle,Argentina,La Nacion,WALL-E ,Andrew Stanton,2008.0,Andrew Stanton,,/name/nm0004056/,1965.0,"Boston, Massachusetts, USA", USA
Diego Batlle,Argentina,La Nacion,In the Mood for Love ,Wong Kar-wai,2000.0,Wong Kar-wai,,/name/nm0939182/,1956.0,"Shanghai, China", China
Diego Batlle,Argentina,La Nacion,Spirited Away ,Hayao Miyazaki,2001.0,Hayao Miyazaki,,/name/nm0594503/,1941.0,"Tokyo, Japan", Japan
Diego Batlle,Argentina,La Nacion,Boyhood ,Richard Linklater,2014.0,Richard Linklater,,/name/nm0000500/,1960.0,"Houston, Texas, USA", USA
Diego Batlle,Argentina,La Nacion,The Son's Room ,Nanni Moretti,2001.0,Nanni Moretti,,/name/nm0604335/,1953.0,"Brunico, Trentino-Alto Adige, Italy", Italy
Diego Batlle,Argentina,La Nacion,Extraordinary Stories ,Mariano Llinás,2008.0,Mariano Llinás,,/name/nm1183471/,,,
Diego Batlle,Argentina,La Nacion,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,1946.0,"Missoula, Montana, USA", USA
Diego Batlle,Argentina,La Nacion,The Social Network ,David Fincher,2010.0,David Fincher,,/name/nm0000399/,1962.0,"Denver, Colorado, USA", USA
Diego Batlle,Argentina,La Nacion,Elephant ,Gus Van Sant,2003.0,Gus Van Sant,,/name/nm0001814/,1952.0,"Louisville, Kentucky, USA", USA
Diego Batlle,Argentina,La Nacion,Uncle Boonmee Who Can Recall His Past Lives ,Apichatpong Weerasethakul,2010.0,Apichatpong Weerasethakul,,/name/nm0917405/,1970.0,"Bangkok, Thailand", Thailand
NT Binh,France,Positif,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,1946.0,"Missoula, Montana, USA", USA
NT Binh,France,Positif,Talk to Her ,Pedro Almodóvar,2002.0,Pedro Almodóvar,,/name/nm0000264/,1949.0,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain", Spain
NT Binh,France,Positif,The Assassin ,Hou Hsiao-hsien,2015.0,Hou Hsiao-hsien,,/title/tt4092526/,,,
